Date,Time,Grid,Sex,B_length,B_width,Tusk,Mass,Capt,ID,trap_X,trap_Y
5/18/15,19:00,2,f,,,,,r,142,3,8
5/19/15,9:00,2,f,,,,,r,142,2,7
5/19/15,11:00,2,f,,,,,r,142,1,8
5/19/15,15:00,2,f,,,,,r,142,1,9
5/19/15,16:00,2,f,,,,,r,142,1,8
5/18/15,16:00,2,m,25.7,13.45,3.25,1.078,n,143,11,7
5/18/15,17:00,2,m,24.4,13,3.2,0.625,n,144,3,11
5/18/15,19:00,2,m,,,,,r,144,1,10
5/18/15,18:00,2,m,22.95,12.1,2.8,0.576,n,145,9,4
5/19/15,9:00,2,f,21,11.45,,0.68,n,146,1,11
5/19/15,9:00,2,f,21.8,11.75,,0.604,n,147,5,7
5/19/15,11:00,2,f,,,,,r,147,3,5
5/20/15,10:00,2,f,,,,,r,147,1,8
5/19/15,10:00,2,m,22.4,11.65,2.45,0.437,n,148,10,11
5/19/15,12:00,2,m,,,,,r,148,10,10
5/19/15,11:00,2,m,22.3,11.7,1.45,0.648,n,149,3,2
5/19/15,18:00,2,m,,,,,r,149,3,6
5/20/15,11:00,2,m,25.05,13.1,3.4,0.852,n,150,1,9
5/20/15,12:00,2,f,21.3,11.9,,0.814,n,151,3,9
5/28/15,17:00,1,f,22.65,12.45,,0.842,n,154,3,2
5/28/15,18:00,1,m,19.9,10.45,1.1,0.536,n,155,6,11
6/1/15,16:00,1,m,,,,,r,155,4,2
6/1/15,17:00,1,m,,,,,r,155,1,7
5/28/15,19:00,1,f,20.75,11.35,,0.723,n,156,5,8
5/29/15,11:00,1,f,,,,,r,156,5,8
5/29/15,12:00,1,f,,,,,r,156,4,8
5/29/15,13:00,1,f,,,,,r,156,4,8
5/29/15,10:00,1,f,21.25,11.8,,0.729,n,157,4,9
5/29/15,13:00,1,f,,,,,r,157,2,8
5/29/15,10:00,1,f,21.4,11.7,,0.756,n,158,6,2
5/29/15,10:00,1,f,22.65,12.3,,0.883,n,159,7,1
5/29/15,10:00,1,f,19.65,10.7,,0.53,n,160,11,8
5/29/15,12:00,1,f,,,,,r,160,9,7
5/29/15,13:00,1,f,,,,,r,160,7,6
5/29/15,12:00,1,f,21.95,11.9,,0.63,n,161,11,1
5/29/15,13:00,1,f,21,11.4,,0.711,n,162,7,4
5/29/15,13:00,1,f,19.8,10.55,,0.56,n,163,7,6
5/29/15,14:00,1,f,23.15,12.4,,0.875,n,164,3,8
6/1/15,15:00,1,f,22.15,11.7,,0.772,n,165,5,10
6/1/15,16:00,1,m,25.4,13.1,3.4,0.997,n,166,4,3
6/1/15,17:00,1,f,22.1,12.2,,0.814,n,167,4,7
6/1/15,17:00,1,m,22.3,12,2.65,0.744,n,168,5,4
6/2/15,10:00,1,m,,,,,r,168,3,2
6/1/15,17:00,1,f,23.1,12.3,,0.635,n,169,6,11
6/1/15,18:00,1,f,22.15,12.25,,0.669,n,170,5,6
6/2/15,10:00,1,f,,,,,r,170,2,6
6/2/15,10:00,1,m,22.1,11.55,1.55,0.556,n,171,10,9
6/2/15,12:00,1,m,,,,,r,171,10,8
6/2/15,16:00,1,m,,,,,r,171,10,8
6/2/15,17:00,1,m,,,,,r,171,10,8
6/2/15,11:00,1,f,20.85,11.35,,0.74,n,172,4,3
6/2/15,18:00,1,f,22,11.7,,0.678,n,173,9,2
6/2/15,18:00,1,f,20.75,11.35,,0.618,n,174,11,2
